number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_min_child_samples,params_min_split_gain,params_num_leaves,state
0,0.764056397829259,2026-05-12 12:09:35.058668,2026-05-12 12:09:35.470497,0 days 00:00:00.411829,0.7993292420985183,5,0.8659969709057025,0.16730402817820234,0.41604396452566056,0.010485387725194618,58,0.48495492608099716,28,COMPLETE
1,0.7540180083316141,2026-05-12 12:09:35.470893,2026-05-12 12:09:36.321319,0 days 00:00:00.850426,0.5917022549267169,1,0.5909124836035503,0.18332660870188128,0.003280829084730048,0.019594972058679168,16,0.18318092164684585,54,COMPLETE
2,0.7620294093714597,2026-05-12 12:09:36.321696,2026-05-12 12:09:36.742164,0 days 00:00:00.420468,0.7571172192068059,3,0.5998368910791798,0.0017402990823522548,3.2351851456174283,0.0923915031962725,48,0.40419867405823057,32,COMPLETE
3,0.7468040364891424,2026-05-12 12:09:36.742582,2026-05-12 12:09:37.922571,0 days 00:00:01.179989,0.7200762468698007,5,0.8421165132560784,0.009061902594114376,0.2822604678393959,0.02049798052095018,10,0.2600340105889054,24,COMPLETE
4,0.7477040379392889,2026-05-12 12:09:37.922926,2026-05-12 12:09:39.796241,0 days 00:00:01.873315,0.8875664116805573,0,0.9847923138822793,0.002124863863243128,0.00530804663077594,0.011097554561103107,15,0.16266516538163217,38,COMPLETE
5,0.7451041329093455,2026-05-12 12:09:39.796629,2026-05-12 12:09:40.468522,0 days 00:00:00.671893,0.6783766633467947,5,0.9143687545759647,0.0018869508789698256,4.471622947037383,0.059189513354636465,20,0.0993578407670862,29,COMPLETE
6,0.7505910900829724,2026-05-12 12:09:40.468910,2026-05-12 12:09:40.835888,0 days 00:00:00.366978,0.8645035840204937,0,0.8534286719238086,1.5580940996926471,0.20209756220944183,0.02142387495644906,50,0.03177917514301182,7,COMPLETE
7,0.747412810709801,2026-05-12 12:09:40.836248,2026-05-12 12:09:41.646992,0 days 00:00:00.810744,0.8187787356776066,0,0.864803089169032,0.6518100832986183,0.11916467090032154,0.05901564798023389,23,0.24689779818219537,24,COMPLETE
8,0.7574010767678456,2026-05-12 12:09:41.647364,2026-05-12 12:09:42.256409,0 days 00:00:00.609045,0.5539457134966522,1,0.5127095633720475,2.27541786736501,0.008358425539630962,0.02572663133249956,28,0.37777556927152434,36,COMPLETE
9,0.7482769521680621,2026-05-12 12:09:42.256799,2026-05-12 12:09:43.224492,0 days 00:00:00.967693,0.5806106436270022,0,0.6448757264568841,0.9392017773650364,0.004899108428855477,0.07808345085542412,9,0.26967112095782536,20,COMPLETE
10,0.75872975677696,2026-05-12 12:09:43.224862,2026-05-12 12:09:43.896235,0 days 00:00:00.671373,0.8953251220508419,5,0.8941192244377669,1.4313479826643833,3.9895415783973136,0.017835945023234694,49,0.4302583911459092,40,COMPLETE
11,0.7622331221741503,2026-05-12 12:09:43.896615,2026-05-12 12:09:44.440077,0 days 00:00:00.543462,0.7610262739077298,3,0.5974596564927749,0.0012610159003437326,2.8040160498374154,0.06608867745743789,43,0.4374801038030121,33,COMPLETE
12,0.7627031017746142,2026-05-12 12:09:44.440432,2026-05-12 12:09:44.870232,0 days 00:00:00.429800,0.8234770543329467,5,0.8681699251231874,0.01847324925438781,0.01910068200112881,0.012066310333076197,60,0.4212222452256063,35,COMPLETE
13,0.7592143797225763,2026-05-12 12:09:44.870598,2026-05-12 12:09:45.272576,0 days 00:00:00.401978,0.7826894891372332,5,0.9398589004265618,0.015467309240640121,0.001968662152489783,0.011020960491341601,47,0.4575537989055019,31,COMPLETE
14,0.7560461081703052,2026-05-12 12:09:45.272930,2026-05-12 12:09:45.641085,0 days 00:00:00.368155,0.7009780899508349,5,0.6792697689508276,0.13332989169508175,0.2031721115514731,0.013687289329801731,55,0.43304131369784815,39,COMPLETE
15,0.7629202878681809,2026-05-12 12:09:45.641444,2026-05-12 12:09:45.984565,0 days 00:00:00.343121,0.7915126479117753,1,0.8451553735096609,0.028112435062318235,0.11785961347876775,0.017332723968610884,58,0.42752413370783987,21,COMPLETE
16,0.7641529190123287,2026-05-12 12:09:45.984917,2026-05-12 12:09:46.325178,0 days 00:00:00.340261,0.7492985634222045,1,0.7851552763076818,0.1841850975628909,0.170468558372846,0.02653370958654945,51,0.3875976133474375,15,COMPLETE
17,0.7623689824755079,2026-05-12 12:09:46.325623,2026-05-12 12:09:46.665446,0 days 00:00:00.339823,0.8544951662473537,1,0.5351136183012118,0.41531184327609866,2.7087933847070484,0.03328400913197391,57,0.3601558847169876,23,COMPLETE
18,0.7567346192273223,2026-05-12 12:09:46.665826,2026-05-12 12:09:46.999246,0 days 00:00:00.333420,0.882153503461283,5,0.9250693629874404,0.5246832735975424,0.12147841330888576,0.05154947107833907,55,0.4879446022449328,19,COMPLETE
19,0.762553321299774,2026-05-12 12:09:46.999631,2026-05-12 12:09:47.396547,0 days 00:00:00.396916,0.6485474837164562,5,0.9978449689312822,0.41744984306602806,0.09779503448076379,0.011065127613686873,48,0.4069524017090448,32,COMPLETE
20,0.7557252027962333,2026-05-12 12:09:47.396936,2026-05-12 12:09:47.945608,0 days 00:00:00.548672,0.773611447505777,1,0.6439630585402292,0.2303983420710864,0.029514196709799313,0.022068391003861154,38,0.29630143203695813,18,COMPLETE
21,0.756266244416667,2026-05-12 12:09:47.946003,2026-05-12 12:09:48.243472,0 days 00:00:00.297469,0.7537769949581217,1,0.8601046322163683,0.013330954906743018,0.6160442923998781,0.01727335767038189,52,0.3724895107801696,11,COMPLETE
22,0.7556974498605251,2026-05-12 12:09:48.243842,2026-05-12 12:09:48.613647,0 days 00:00:00.369805,0.8868303816445974,5,0.8274097007667327,0.06334894145206676,0.7524398811411128,0.013135738904787933,56,0.35989736874148526,21,COMPLETE
23,0.7539931212251647,2026-05-12 12:09:48.614037,2026-05-12 12:09:48.982035,0 days 00:00:00.367998,0.6945227536139643,0,0.8786100321239286,0.04868387380590339,0.0221694014114327,0.026317427454815752,60,0.4271186290722257,13,COMPLETE
24,0.7594446655601901,2026-05-12 12:09:48.982413,2026-05-12 12:09:49.359566,0 days 00:00:00.377153,0.8945775652242155,1,0.8800556521450567,0.5632521035412205,0.0446404998200391,0.012965032367299706,48,0.46424605362417093,15,COMPLETE
25,0.7521704623359469,2026-05-12 12:09:49.360005,2026-05-12 12:09:49.659521,0 days 00:00:00.299516,0.6187323785105784,1,0.8281376969084742,0.4085856978400014,0.3176471587426754,0.019362185891355736,58,0.39882617609175913,38,COMPLETE
26,0.7500982461074754,2026-05-12 12:09:49.659912,2026-05-12 12:09:50.182079,0 days 00:00:00.522167,0.731526074354219,0,0.7443866222756597,1.3010704435149971,0.596816274946762,0.04468717473572686,40,0.43724916761991883,12,COMPLETE
