number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_min_child_samples,params_min_split_gain,params_num_leaves,state
11,0.7622331221741503,2026-05-12 12:05:31.968846,2026-05-12 12:05:32.464647,0 days 00:00:00.495801,0.7610262739077298,3,0.5974596564927749,0.0012610159003437326,2.8040160498374154,0.06608867745743789,43,0.4374801038030121,33,COMPLETE
12,0.7627031017746142,2026-05-12 12:05:32.465053,2026-05-12 12:05:33.017881,0 days 00:00:00.552828,0.8234770543329467,5,0.8681699251231874,0.01847324925438781,0.01910068200112881,0.012066310333076197,60,0.4212222452256063,35,COMPLETE
13,0.7592143797225763,2026-05-12 12:05:33.018317,2026-05-12 12:05:33.636839,0 days 00:00:00.618522,0.7826894891372332,5,0.9398589004265618,0.015467309240640121,0.001968662152489783,0.011020960491341601,47,0.4575537989055019,31,COMPLETE
14,0.7560461081703052,2026-05-12 12:05:33.637427,2026-05-12 12:05:34.868721,0 days 00:00:01.231294,0.7009780899508349,5,0.6792697689508276,0.13332989169508175,0.2031721115514731,0.013687289329801731,55,0.43304131369784815,39,COMPLETE
15,0.7629202878681809,2026-05-12 12:05:34.871024,2026-05-12 12:05:35.611399,0 days 00:00:00.740375,0.7915126479117753,1,0.8451553735096609,0.028112435062318235,0.11785961347876775,0.017332723968610884,58,0.42752413370783987,21,COMPLETE
16,0.7641529190123287,2026-05-12 12:05:35.611944,2026-05-12 12:05:36.231632,0 days 00:00:00.619688,0.7492985634222045,1,0.7851552763076818,0.1841850975628909,0.170468558372846,0.02653370958654945,51,0.3875976133474375,15,COMPLETE
17,0.7623689824755079,2026-05-12 12:05:36.233048,2026-05-12 12:05:36.991738,0 days 00:00:00.758690,0.8544951662473537,1,0.5351136183012118,0.41531184327609866,2.7087933847070484,0.03328400913197391,57,0.3601558847169876,23,COMPLETE
18,0.7567346192273223,2026-05-12 12:05:36.992264,2026-05-12 12:05:37.489846,0 days 00:00:00.497582,0.882153503461283,5,0.9250693629874404,0.5246832735975424,0.12147841330888576,0.05154947107833907,55,0.4879446022449328,19,COMPLETE
19,0.762553321299774,2026-05-12 12:05:37.490498,2026-05-12 12:05:38.279561,0 days 00:00:00.789063,0.6485474837164562,5,0.9978449689312822,0.41744984306602806,0.09779503448076379,0.011065127613686873,48,0.4069524017090448,32,COMPLETE
20,0.7557252027962333,2026-05-12 12:05:38.280206,2026-05-12 12:05:39.375135,0 days 00:00:01.094929,0.773611447505777,1,0.6439630585402292,0.2303983420710864,0.029514196709799313,0.022068391003861154,38,0.29630143203695813,18,COMPLETE
21,0.756266244416667,2026-05-12 12:05:39.375882,2026-05-12 12:05:39.880193,0 days 00:00:00.504311,0.7537769949581217,1,0.8601046322163683,0.013330954906743018,0.6160442923998781,0.01727335767038189,52,0.3724895107801696,11,COMPLETE
22,0.7556974498605251,2026-05-12 12:05:39.881467,2026-05-12 12:05:40.349436,0 days 00:00:00.467969,0.8868303816445974,5,0.8274097007667327,0.06334894145206676,0.7524398811411128,0.013135738904787933,56,0.35989736874148526,21,COMPLETE
23,0.7539931212251647,2026-05-12 12:05:40.349860,2026-05-12 12:05:41.176768,0 days 00:00:00.826908,0.6945227536139643,0,0.8786100321239286,0.04868387380590339,0.0221694014114327,0.026317427454815752,60,0.4271186290722257,13,COMPLETE
24,0.7594446655601901,2026-05-12 12:05:41.177316,2026-05-12 12:05:41.552544,0 days 00:00:00.375228,0.8945775652242155,1,0.8800556521450567,0.5632521035412205,0.0446404998200391,0.012965032367299706,48,0.46424605362417093,15,COMPLETE
25,0.7521704623359469,2026-05-12 12:05:41.552985,2026-05-12 12:05:41.855497,0 days 00:00:00.302512,0.6187323785105784,1,0.8281376969084742,0.4085856978400014,0.3176471587426754,0.019362185891355736,58,0.39882617609175913,38,COMPLETE
26,0.7500982461074754,2026-05-12 12:05:41.855919,2026-05-12 12:05:42.911560,0 days 00:00:01.055641,0.731526074354219,0,0.7443866222756597,1.3010704435149971,0.596816274946762,0.04468717473572686,40,0.43724916761991883,12,COMPLETE
27,0.7610303876395556,2026-05-12 12:05:42.912080,2026-05-12 12:05:43.549800,0 days 00:00:00.637720,0.8094401220723291,3,0.7696217720532941,0.0067417472093672945,0.0702451190586068,0.024220135395153938,55,0.3855995207744993,24,COMPLETE
28,0.7564422325676036,2026-05-12 12:05:43.550324,2026-05-12 12:05:44.568026,0 days 00:00:01.017702,0.8076203676726357,1,0.9685224772715142,0.06381717938020627,0.7132653670771373,0.020467099903484585,47,0.4462242399648302,39,COMPLETE
29,0.7532135733259014,2026-05-12 12:05:44.569210,2026-05-12 12:05:45.485311,0 days 00:00:00.916101,0.7494727933890802,1,0.8395367676396361,1.1888581310555797,3.331235744349269,0.024399960679543718,30,0.3492970495490889,14,COMPLETE
30,0.7614516742690226,2026-05-12 12:05:45.485856,2026-05-12 12:05:46.240930,0 days 00:00:00.755074,0.7093232811201455,1,0.8335295271198122,0.16320153474574833,0.05459405126892694,0.042431530392544214,53,0.3308203148405461,17,COMPLETE
31,0.7579081898264701,2026-05-12 12:05:46.241975,2026-05-12 12:05:46.776694,0 days 00:00:00.534719,0.9068261442175357,5,0.8198403079897134,0.013733461811862947,0.006008797760194782,0.01826102837369112,53,0.494529317029695,54,COMPLETE
32,0.7558498790064665,2026-05-12 12:05:46.777079,2026-05-12 12:05:47.234695,0 days 00:00:00.457616,0.9323394900584484,5,0.8693099527059037,0.015914493325064387,0.04191219781293288,0.015499833284410331,60,0.3893255836999607,35,COMPLETE
33,0.7525183640295435,2026-05-12 12:05:47.235207,2026-05-12 12:05:47.620186,0 days 00:00:00.384979,0.9538331594836404,0,0.9786585569826396,0.01021236272805239,0.46177475108958566,0.02461296141483165,55,0.48732914265281285,16,COMPLETE
34,0.7564459871814118,2026-05-12 12:05:47.620584,2026-05-12 12:05:47.978356,0 days 00:00:00.357772,0.6567247825682703,5,0.8857992410077493,0.12153497914256324,2.315892053002989,0.021636839053181284,56,0.47578393289382215,12,COMPLETE
35,0.7656942616835796,2026-05-12 12:05:47.978705,2026-05-12 12:05:48.540472,0 days 00:00:00.561767,0.6794564444822642,1,0.8042157732610001,0.053684117671480645,0.10243816108192864,0.014335000603436957,44,0.3846676281664705,26,COMPLETE
36,0.7532049369646692,2026-05-12 12:05:48.540884,2026-05-12 12:05:49.275992,0 days 00:00:00.735108,0.6484418156707469,0,0.8291244597333682,0.03937362341591872,0.10304608326041477,0.02025454863146729,41,0.3217745389960239,35,COMPLETE
37,0.7629006933495397,2026-05-12 12:05:49.276367,2026-05-12 12:05:49.577538,0 days 00:00:00.301171,0.7892784990108197,1,0.815347304669435,0.018544393063327745,0.0323048109049667,0.023819319036055265,59,0.41151893330246475,27,COMPLETE
38,0.7495447129270825,2026-05-12 12:05:49.577992,2026-05-12 12:05:49.978407,0 days 00:00:00.400415,0.7479765140732648,5,0.8639696382469724,2.172857091869603,0.3119864911727268,0.0104816411426422,59,0.4195322307504785,12,COMPLETE
39,0.7548879434170133,2026-05-12 12:05:49.978787,2026-05-12 12:05:50.237017,0 days 00:00:00.258230,0.7179553028311304,1,0.8591520738997056,0.010395151208622968,0.3472565185926417,0.011342019311982959,60,0.47550157783151953,29,COMPLETE
40,0.7485368555618054,2026-05-12 12:05:50.237400,2026-05-12 12:05:50.665291,0 days 00:00:00.427891,0.5006438816077904,1,0.751719078157736,0.05977662374236649,0.03367082446868463,0.02432646365573049,45,0.48757352948347693,25,COMPLETE
41,0.7572007874596418,2026-05-12 12:05:50.665666,2026-05-12 12:05:51.034406,0 days 00:00:00.368740,0.8787129539494882,1,0.7844356008678066,0.18477419033774076,0.1118073102638121,0.031827670856055174,54,0.441673500022242,34,COMPLETE
42,0.7573160766829237,2026-05-12 12:05:51.034732,2026-05-12 12:05:51.606559,0 days 00:00:00.571827,0.8135372382187498,1,0.8752184059429929,0.0019238234041244107,0.017630536420509775,0.020064975500019098,40,0.30519341255594823,19,COMPLETE
43,0.7604217851788572,2026-05-12 12:05:51.606984,2026-05-12 12:05:51.944369,0 days 00:00:00.337385,0.749638782566161,1,0.6489735651297965,0.008662421734693431,0.034386170240441945,0.011624381239514878,46,0.3137872297261093,42,COMPLETE
44,0.7644235369873262,2026-05-12 12:05:51.944746,2026-05-12 12:05:52.277488,0 days 00:00:00.332742,0.8035905600350869,3,0.8843938637635771,0.12231398509639192,0.14811925863619518,0.017853065850037878,55,0.46757723599286966,27,COMPLETE
45,0.7581707710437753,2026-05-12 12:05:52.277853,2026-05-12 12:05:52.627360,0 days 00:00:00.349507,0.7882807291252588,3,0.9393511479779139,0.059894965224644055,0.1304843307241903,0.021661182796719303,58,0.41314618172768247,22,COMPLETE
46,0.7542590288414545,2026-05-12 12:05:52.627844,2026-05-12 12:05:53.673248,0 days 00:00:01.045404,0.6277805363185146,1,0.8083264577460627,0.07867051334433557,0.02356812066050082,0.011024194884886183,53,0.37464255873978475,26,COMPLETE
47,0.7528609893664517,2026-05-12 12:05:53.675224,2026-05-12 12:05:54.176533,0 days 00:00:00.501309,0.7596451951694017,3,0.6806013144357288,1.2116968185229766,0.08764673833029529,0.023229908702481643,44,0.4643781604389873,36,COMPLETE
48,0.7567886138919357,2026-05-12 12:05:54.176921,2026-05-12 12:05:54.561597,0 days 00:00:00.384676,0.6964838890947745,3,0.8740348122458974,0.11048206473534616,0.4360799928364767,0.010575124076439141,58,0.46439640605927335,16,COMPLETE
49,0.7569555475744598,2026-05-12 12:05:54.562157,2026-05-12 12:05:54.970843,0 days 00:00:00.408686,0.9385327271501824,3,0.8361117736894612,0.7064849621757212,0.1430364704348759,0.01567582081485376,48,0.4260379515212047,34,COMPLETE
