number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_min_child_samples,params_min_split_gain,params_num_leaves,state
0,0.764056397829259,2026-05-12 12:05:22.941634,2026-05-12 12:05:23.325891,0 days 00:00:00.384257,0.7993292420985183,5,0.8659969709057025,0.16730402817820234,0.41604396452566056,0.010485387725194618,58,0.48495492608099716,28,COMPLETE
1,0.7540180083316141,2026-05-12 12:05:23.326296,2026-05-12 12:05:24.204987,0 days 00:00:00.878691,0.5917022549267169,1,0.5909124836035503,0.18332660870188128,0.003280829084730048,0.019594972058679168,16,0.18318092164684585,54,COMPLETE
2,0.7620294093714597,2026-05-12 12:05:24.205364,2026-05-12 12:05:24.635086,0 days 00:00:00.429722,0.7571172192068059,3,0.5998368910791798,0.0017402990823522548,3.2351851456174283,0.0923915031962725,48,0.40419867405823057,32,COMPLETE
3,0.7468040364891424,2026-05-12 12:05:24.635468,2026-05-12 12:05:26.287867,0 days 00:00:01.652399,0.7200762468698007,5,0.8421165132560784,0.009061902594114376,0.2822604678393959,0.02049798052095018,10,0.2600340105889054,24,COMPLETE
4,0.7477040379392889,2026-05-12 12:05:26.288420,2026-05-12 12:05:27.982894,0 days 00:00:01.694474,0.8875664116805573,0,0.9847923138822793,0.002124863863243128,0.00530804663077594,0.011097554561103107,15,0.16266516538163217,38,COMPLETE
5,0.7451041329093455,2026-05-12 12:05:27.983259,2026-05-12 12:05:28.606756,0 days 00:00:00.623497,0.6783766633467947,5,0.9143687545759647,0.0018869508789698256,4.471622947037383,0.059189513354636465,20,0.0993578407670862,29,COMPLETE
6,0.7505910900829724,2026-05-12 12:05:28.607142,2026-05-12 12:05:28.936029,0 days 00:00:00.328887,0.8645035840204937,0,0.8534286719238086,1.5580940996926471,0.20209756220944183,0.02142387495644906,50,0.03177917514301182,7,COMPLETE
7,0.747412810709801,2026-05-12 12:05:28.936414,2026-05-12 12:05:29.727139,0 days 00:00:00.790725,0.8187787356776066,0,0.864803089169032,0.6518100832986183,0.11916467090032154,0.05901564798023389,23,0.24689779818219537,24,COMPLETE
8,0.7574010767678456,2026-05-12 12:05:29.727618,2026-05-12 12:05:30.369484,0 days 00:00:00.641866,0.5539457134966522,1,0.5127095633720475,2.27541786736501,0.008358425539630962,0.02572663133249956,28,0.37777556927152434,36,COMPLETE
9,0.7482769521680621,2026-05-12 12:05:30.369918,2026-05-12 12:05:31.300917,0 days 00:00:00.930999,0.5806106436270022,0,0.6448757264568841,0.9392017773650364,0.004899108428855477,0.07808345085542412,9,0.26967112095782536,20,COMPLETE
10,0.75872975677696,2026-05-12 12:05:31.301320,2026-05-12 12:05:31.967702,0 days 00:00:00.666382,0.8953251220508419,5,0.8941192244377669,1.4313479826643833,3.9895415783973136,0.017835945023234694,49,0.4302583911459092,40,COMPLETE
