Pedra,n,pos_rate,roc_auc,pr_auc
Agata,153,0.7124183006535948,0.7585487906588825,0.886608647480145
Ametista,308,0.6461038961038961,0.7816144944908027,0.8448461507533729
NA,75,0.3333333333333333,0.6472,0.5151720978345478
Quartzo,42,0.8333333333333334,0.7346938775510204,0.9352915024290785
Topázio,187,0.7005347593582888,0.6639858233369685,0.8236128262060624
