RA,Nome Anonimizado,Fase,Pedra atual,INDE atual,prob_lgbm,prob_xgb,prob_mlp,prob_stacking,prob_final,top_3_fatores,faixa_risco,prob_experimental
RA-1534,Aluno-1534,3,Ametista,7.188366666666667,0.6532,0.6718,0.3149,0.3865,0.4275,Defasagem(−0.37) | Idade(+0.23) | age_fase_excess(−0.17),Médio,0.528
RA-356,Aluno-356,4,Agata,6.627336016533334,0.5338,0.5909,0.6321,0.4398,0.4265,Ing(−0.32) | Defasagem(−0.31) | IPV(−0.15),Médio,0.4391
RA-538,Aluno-538,3,Agata,6.514094017066666,0.6066,0.6379,0.6768,0.5765,0.4262,IPV(−0.23) | Idade(+0.19) | gap_Mat_Por(−0.15),Médio,0.5468
RA-434,Aluno-434,3,Agata,6.610947619100001,0.4871,0.4447,0.3693,0.2913,0.426,Defasagem(−0.34) | Idade(+0.19) | gap_Por_Ing(−0.16),Médio,0.3578
RA-535,Aluno-535,3,Ametista,7.659555952400001,0.4472,0.436,0.3686,0.3853,0.424,Defasagem(−0.38) | Idade(+0.19) | gap_Por_Ing(−0.18),Médio,0.3554
RA-681,Aluno-681,1,Agata,6.0398818182000005,0.5351,0.6009,0.7513,0.5117,0.4238,IPV(−0.22) | Idade(+0.17) | Defasagem(−0.16),Médio,0.4945
RA-78,Aluno-78,7,Topázio,8.1780308688,0.5543,0.5832,0.8647,0.698,0.4228,Ing(−0.32) | Defasagem(−0.31) | IPS_z_faseAno(+0.21),Médio,0.5257
RA-1588,Aluno-1588,4,Ametista,7.303823728133333,0.4499,0.4425,0.3465,0.2845,0.4227,Defasagem(−0.31) | IPS_z_faseAno(+0.20) | age_fase_excess(−0.19),Médio,0.3753
RA-1174,Aluno-1174,5,Ametista,7.374213419866667,0.5652,0.5941,0.4906,0.4455,0.4226,Defasagem(−0.45) | age_fase_excess(+0.20) | Idade(+0.18),Médio,0.554
RA-369,Aluno-369,3,Quartzo,5.667282265,0.4772,0.4491,0.2825,0.1926,0.4207,Defasagem(−0.30) | Idade(+0.16) | IPV(−0.13),Médio,0.3336
RA-600,Aluno-600,2,Ametista,7.847373913,0.4917,0.4802,0.8291,0.6099,0.4203,Defasagem(−0.33) | gap_Por_Ing(−0.26) | IPV(−0.20),Médio,0.4533
RA-1168,Aluno-1168,3,Agata,6.864053921600001,0.5151,0.4598,0.8312,0.657,0.4198,IPV(−0.25) | Idade(+0.18) | Defasagem(−0.16),Médio,0.371
RA-1477,Aluno-1477,2,Ametista,7.0514989130000005,0.5095,0.4926,0.3009,0.2562,0.4196,Defasagem(−0.35) | Idade(+0.19) | gap_Por_Ing(−0.14),Médio,0.4094
RA-1340,Aluno-1340,0,Topázio,8.3422714286,0.4478,0.4897,0.7605,0.4774,0.4196,Idade(−0.57) | gap_Por_Ing(+0.17) | Defasagem(−0.16),Médio,0.4191
RA-931,Aluno-931,0,Ametista,7.075466666700001,0.5253,0.5802,0.7683,0.5746,0.4194,Idade(−0.72) | pedra_delta_1(+0.16) | IAA_decile_fase(+0.15),Médio,0.4849
RA-763,Aluno-763,1,Agata,6.984760606,0.5155,0.5411,0.6954,0.5334,0.4192,IPV(−0.20) | Idade(+0.18) | Defasagem(−0.15),Médio,0.4623
RA-1486,Aluno-1486,2,Agata,6.865474509900001,0.4913,0.5266,0.3275,0.2464,0.4192,Defasagem(−0.37) | IPV(−0.20) | Idade(+0.19),Médio,0.3784
RA-1444,Aluno-1444,1,Agata,6.610588888900001,0.5489,0.5546,0.7735,0.5793,0.4187,Idade(+0.20) | IPV(−0.16) | gap_Mat_Por(−0.15),Médio,0.5363
