RA,Nome Anonimizado,Fase,Pedra atual,INDE atual,prob_lgbm,prob_xgb,prob_mlp,prob_stacking,prob_final,top_3_fatores,faixa_risco,prob_experimental
RA-958,Aluno-958,1,Topázio,9.531325,0.4577,0.4655,0.532,0.3508,0.3796,Idade(−0.91) | FaseIdeal_num(−0.17) | Defasagem(−0.17),Médio,0.4066
RA-1395,Aluno-1395,1,Topázio,8.5997833334,0.4233,0.4574,0.6418,0.3759,0.3789,Idade(−0.74) | gap_Por_Ing(+0.24) | FaseIdeal_num(−0.16),Médio,0.3813
RA-1072,Aluno-1072,3,Ametista,7.8153856754,0.4264,0.3531,0.3246,0.2367,0.3788,Defasagem(−0.41) | Ing(−0.33) | IPS_z_faseAno(+0.20),Médio,0.2631
RA-1471,Aluno-1471,2,Ametista,7.404455434800001,0.4396,0.4296,0.3564,0.2835,0.3778,IPV(−0.22) | gap_Por_Ing(−0.21) | Defasagem(−0.19),Médio,0.3649
RA-927,Aluno-927,1,Ametista,7.9921696969,0.4034,0.4177,0.4987,0.3672,0.3776,Defasagem(−0.30) | IAA_decile_fase(+0.20) | IPV(−0.19),Médio,0.3554
RA-1370,Aluno-1370,0,Topázio,8.0456444444,0.4037,0.385,0.3534,0.2489,0.3776,Idade(−0.71) | gap_Por_Ing(+0.21) | FaseIdeal_num(−0.18),Médio,0.3087
RA-624,Aluno-624,2,Ametista,7.229425672900001,0.427,0.4545,0.3512,0.2815,0.3767,Defasagem(−0.39) | IPV(−0.21) | Idade(+0.19),Médio,0.3657
RA-1114,Aluno-1114,3,Ametista,7.437466666666667,0.4311,0.478,0.2948,0.2495,0.3764,Defasagem(−0.48) | Idade(+0.19) | gap_Mat_Por(−0.15),Médio,0.3179
RA-1012,Aluno-1012,0,Topázio,8.057128571400002,0.3822,0.3992,0.8411,0.6262,0.3753,Idade(−0.74) | FaseIdeal_num(−0.21) | IPV(+0.09),Médio,0.3061
RA-110,Aluno-110,5,Topázio,8.6324939394,0.5139,0.5349,0.3269,0.348,0.3749,Defasagem(−0.42) | IPV(+0.21) | Ing(−0.19),Médio,0.4143
RA-954,Aluno-954,1,Topázio,8.2823798419,0.4519,0.5062,0.8317,0.6588,0.3748,Idade(−0.70) | Defasagem(−0.19) | FaseIdeal_num(−0.16),Médio,0.4353
RA-861,Aluno-861,0,Topázio,8.959700000000002,0.4929,0.5016,0.7755,0.5307,0.3747,Idade(−0.96) | FaseIdeal_num(−0.19) | IPV(+0.10),Médio,0.4751
RA-1450,Aluno-1450,1,Ametista,7.405235714200002,0.3724,0.4028,0.2832,0.2011,0.3741,Idade(−0.78) | Defasagem(−0.20) | FaseIdeal_num(−0.10),Médio,0.3144
RA-59,Aluno-59,8,,,0.5926,0.6819,0.8128,0.5461,0.3737,Ing(−0.38) | Defasagem(−0.32) | IPV(−0.19),Médio,0.408
RA-1555,Aluno-1555,3,Ametista,7.4827333334,0.4952,0.4498,0.4595,0.3478,0.3734,Defasagem(−0.43) | gap_Mat_Por(−0.18) | age_fase_excess(−0.18),Médio,0.3354
RA-1535,Aluno-1535,3,Ametista,7.109390969933334,0.4894,0.4674,0.5044,0.3627,0.3731,Defasagem(−0.46) | Idade(+0.22) | IPV(+0.17),Médio,0.3586
RA-1289,Aluno-1289,0,Ametista,7.2171722223,0.4131,0.4274,0.5365,0.3211,0.373,gap_Mat_Por(−0.20) | Idade(+0.17) | IPV(−0.17),Médio,0.3231
RA-461,Aluno-461,3,Ametista,7.5447559291,0.4054,0.4465,0.41,0.2736,0.3729,Defasagem(−0.35) | IPV(−0.23) | gap_Por_Ing(−0.15),Médio,0.3205
RA-31,Aluno-31,8,,,0.5765,0.6901,0.2785,0.2247,0.3718,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.3741
RA-17,Aluno-17,8,,,0.577,0.6792,0.2957,0.2318,0.3718,Ing(−0.40) | Defasagem(−0.32) | IPV(−0.19),Médio,0.3692
RA-35,Aluno-35,8,,,0.5765,0.6901,0.2912,0.2316,0.3718,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.3741
RA-1636,Aluno-1636,8,,,0.5765,0.6901,0.2543,0.2116,0.3718,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.3719
RA-1251,Aluno-1251,8,,,0.5765,0.6901,0.2546,0.2118,0.3718,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.3719
RA-1264,Aluno-1264,8,,,0.5765,0.6901,0.2546,0.2118,0.3718,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.3719
RA-1269,Aluno-1269,8,,,0.5765,0.6901,0.2553,0.2121,0.3718,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.374
RA-1256,Aluno-1256,8,,,0.5765,0.6901,0.2542,0.2115,0.3718,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.3719
RA-1246,Aluno-1246,8,,,0.5765,0.6901,0.2546,0.2118,0.3718,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.3719
RA-1263,Aluno-1263,8,,,0.5765,0.6901,0.2555,0.2122,0.3718,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.374
RA-1262,Aluno-1262,8,,,0.5765,0.6901,0.2544,0.2116,0.3718,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.3719
RA-1248,Aluno-1248,8,,,0.577,0.6792,0.2556,0.2114,0.3718,Ing(−0.40) | Defasagem(−0.32) | IPV(−0.19),Médio,0.367
RA-1633,Aluno-1633,8,,,0.577,0.6792,0.2553,0.2113,0.3718,Ing(−0.40) | Defasagem(−0.32) | IPV(−0.19),Médio,0.367
RA-1274,Aluno-1274,8,,,0.5765,0.6901,0.2553,0.2121,0.3718,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.374
RA-1234,Aluno-1234,8,,,0.5765,0.6901,0.2546,0.2118,0.3718,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.3719
RA-1261,Aluno-1261,8,,,0.5765,0.6901,0.2544,0.2116,0.3718,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.3719
RA-1270,Aluno-1270,8,,,0.5765,0.6901,0.2554,0.2121,0.3718,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.374
RA-1259,Aluno-1259,8,,,0.5765,0.6901,0.2544,0.2116,0.3718,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.3719
RA-1253,Aluno-1253,8,,,0.5765,0.6901,0.2555,0.2124,0.3718,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.3719
RA-1257,Aluno-1257,8,,,0.577,0.6792,0.2552,0.2111,0.3718,Ing(−0.40) | Defasagem(−0.32) | IPV(−0.19),Médio,0.367
RA-1272,Aluno-1272,8,,,0.5765,0.6901,0.2554,0.2121,0.3718,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.374
RA-1245,Aluno-1245,8,,,0.577,0.6792,0.2556,0.2114,0.3718,Ing(−0.40) | Defasagem(−0.32) | IPV(−0.19),Médio,0.367
RA-1271,Aluno-1271,8,,,0.5765,0.6901,0.2553,0.2121,0.3718,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.374
RA-1635,Aluno-1635,8,,,0.5765,0.6901,0.2543,0.2116,0.3718,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.3719
RA-1236,Aluno-1236,8,,,0.5765,0.6901,0.2548,0.2119,0.3718,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.3719
RA-1634,Aluno-1634,8,,,0.5765,0.6901,0.2545,0.2117,0.3718,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.3719
RA-1255,Aluno-1255,8,,,0.577,0.6792,0.2554,0.2113,0.3718,Ing(−0.40) | Defasagem(−0.32) | IPV(−0.19),Médio,0.367
RA-1265,Aluno-1265,8,,,0.577,0.6792,0.2532,0.2102,0.3718,Ing(−0.40) | Defasagem(−0.32) | IPV(−0.19),Médio,0.367
RA-1240,Aluno-1240,8,,,0.577,0.6792,0.2556,0.2114,0.3718,Ing(−0.40) | Defasagem(−0.32) | IPV(−0.19),Médio,0.367
RA-1241,Aluno-1241,8,,,0.5765,0.6901,0.2546,0.2118,0.3718,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.3719
RA-1250,Aluno-1250,8,,,0.577,0.6792,0.2576,0.2124,0.3718,Ing(−0.40) | Defasagem(−0.32) | IPV(−0.19),Médio,0.3691
RA-1249,Aluno-1249,8,,,0.577,0.6792,0.2583,0.2131,0.3718,Ing(−0.40) | Defasagem(−0.32) | IPV(−0.19),Médio,0.367
RA-1242,Aluno-1242,8,,,0.5765,0.6901,0.2544,0.2116,0.3718,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.3719
RA-1239,Aluno-1239,8,,,0.5765,0.6901,0.2555,0.2122,0.3718,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.374
RA-1244,Aluno-1244,8,,,0.5765,0.6901,0.2546,0.2118,0.3718,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.3719
RA-412,Aluno-412,4,Topázio,8.044378070166667,0.4457,0.4462,0.3181,0.3331,0.3715,Defasagem(−0.44) | IPV(+0.21) | pedra_delta_2(+0.18),Médio,0.312
RA-947,Aluno-947,0,Agata,6.053509523800001,0.4639,0.4413,0.3594,0.2925,0.3711,Idade(−0.63) | FaseIdeal_num(−0.12) | IAA_decile_fase(−0.12),Médio,0.3729
RA-299,Aluno-299,5,Topázio,8.177186956533333,0.4309,0.4348,0.7744,0.5659,0.3698,Defasagem(−0.38) | Ing(−0.21) | gap_Por_Ing(−0.16),Médio,0.3469
RA-1595,Aluno-1595,4,Agata,6.6599304233000005,0.4648,0.4555,0.2914,0.245,0.3697,Defasagem(−0.41) | age_fase_excess(−0.18) | IPV(−0.18),Médio,0.3848
RA-1475,Aluno-1475,2,Ametista,7.413901754400001,0.361,0.4086,0.4592,0.277,0.3693,Defasagem(−0.32) | IPV(−0.28) | Idade(+0.15),Médio,0.3063
RA-880,Aluno-880,0,Agata,6.853080434800001,0.3793,0.4258,0.8375,0.5961,0.3692,Idade(−0.66) | IPV(−0.14) | gap_Mat_Por(−0.13),Médio,0.3407
RA-2,Aluno-2,8,,,0.5765,0.6901,0.2567,0.2131,0.3687,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.3722
RA-29,Aluno-29,8,,,0.577,0.6792,0.2527,0.2097,0.3687,Ing(−0.40) | Defasagem(−0.32) | IPV(−0.19),Médio,0.3674
RA-49,Aluno-49,8,,,0.5765,0.6901,0.2534,0.211,0.3687,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.3724
RA-23,Aluno-23,8,,,0.577,0.6792,0.2636,0.2155,0.3687,Ing(−0.40) | Defasagem(−0.32) | IPV(−0.19),Médio,0.3673
RA-14,Aluno-14,8,,,0.577,0.6792,0.2555,0.2112,0.3687,Ing(−0.40) | Defasagem(−0.32) | IPV(−0.19),Médio,0.3674
RA-21,Aluno-21,8,,,0.577,0.6792,0.2557,0.2113,0.3687,Ing(−0.40) | Defasagem(−0.32) | IPV(−0.19),Médio,0.3674
RA-88,Aluno-88,8,,,0.577,0.6792,0.2658,0.2166,0.3687,Ing(−0.40) | Defasagem(−0.32) | IPV(−0.19),Médio,0.3673
RA-1497,Aluno-1497,2,Quartzo,5.2423787879,0.438,0.4259,0.2785,0.1819,0.3674,Defasagem(−0.33) | age_fase_excess(−0.21) | IPV(−0.19),Médio,0.2934
RA-1216,Aluno-1216,8,,,0.5708,0.6856,0.6818,0.4381,0.3671,Ing(−0.40) | Defasagem(−0.32) | IPV(−0.19),Médio,0.3773
RA-1347,Aluno-1347,0,Agata,6.153842857100001,0.4044,0.3472,0.7545,0.4609,0.3661,Idade(−0.57) | FaseIdeal_num(−0.12) | Defasagem(−0.10),Médio,0.2793
RA-12,Aluno-12,8,,,0.5685,0.6843,0.2519,0.2101,0.3657,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.3604
RA-25,Aluno-25,8,,,0.5685,0.6843,0.2546,0.2117,0.3657,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.3602
RA-1,Aluno-1,8,,,0.5685,0.6843,0.2517,0.21,0.3657,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.3604
RA-13,Aluno-13,8,,,0.5689,0.6733,0.2544,0.2107,0.3657,Ing(−0.40) | Defasagem(−0.32) | IPV(−0.19),Médio,0.3555
RA-6,Aluno-6,8,,,0.5685,0.6843,0.2518,0.2101,0.3657,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.3604
RA-7,Aluno-7,8,,,0.5689,0.6733,0.2546,0.2108,0.3657,Ing(−0.40) | Defasagem(−0.32) | IPV(−0.19),Médio,0.3555
RA-36,Aluno-36,8,,,0.5685,0.6843,0.2564,0.2127,0.3657,Ing(−0.40) | Defasagem(−0.33) | IPV(−0.19),Médio,0.3602
RA-918,Aluno-918,0,Quartzo,5.657357017600001,0.4114,0.3516,0.2571,0.159,0.3653,Idade(−0.64) | FaseIdeal_num(−0.12) | gap_Mat_Por(+0.11),Médio,0.2541
RA-1177,Aluno-1177,5,Topázio,8.3233039474,0.434,0.4742,0.3479,0.3013,0.3651,Defasagem(−0.47) | IPV(+0.20) | gap_Por_Ing(−0.15),Médio,0.3789
RA-1330,Aluno-1330,0,Topázio,8.944616666700002,0.4393,0.4985,0.7327,0.4448,0.365,Idade(−0.83) | Defasagem(−0.19) | FaseIdeal_num(−0.19),Médio,0.437
RA-886,Aluno-886,0,Topázio,8.419200000000002,0.4643,0.5205,0.7236,0.5161,0.3642,Idade(−0.89) | FaseIdeal_num(−0.21) | IPS_z_faseAno(+0.20),Médio,0.4145
RA-1373,Aluno-1373,0,Ametista,7.577286956500001,0.4036,0.4351,0.4337,0.3053,0.3642,Idade(−0.80) | FaseIdeal_num(−0.10) | Defasagem(−0.10),Médio,0.4064
RA-974,Aluno-974,0,Ametista,7.6077217391,0.3452,0.3378,0.2642,0.1906,0.3639,Idade(−0.67) | gap_Mat_Por(+0.11) | Defasagem(−0.10),Médio,0.3273
RA-1224,Aluno-1224,8,,,0.5694,0.6727,0.8255,0.5512,0.3638,Ing(−0.40) | Defasagem(−0.32) | IPV(−0.19),Médio,0.3731
RA-608,Aluno-608,2,Quartzo,5.778986231800001,0.4251,0.4138,0.2841,0.1988,0.3635,Defasagem(−0.29) | Idade(+0.16) | IPV(−0.16),Médio,0.2865
RA-1303,Aluno-1303,0,Topázio,8.8352,0.4439,0.4359,0.3904,0.2712,0.3629,Idade(−0.91) | Defasagem(−0.18) | FaseIdeal_num(−0.17),Médio,0.3917
RA-908,Aluno-908,0,Agata,6.764292246,0.3933,0.3565,0.2536,0.1604,0.3623,Idade(−0.59) | FaseIdeal_num(−0.12) | gap_Mat_Por(+0.12),Médio,0.2614
RA-521,Aluno-521,2,Ametista,7.4798428572,0.4513,0.4775,0.6546,0.4676,0.3619,Defasagem(−0.36) | IPV(−0.20) | gap_Mat_Por(−0.19),Médio,0.4136
RA-398,Aluno-398,3,Ametista,7.2457999999666685,0.4727,0.5231,0.3714,0.3457,0.3615,Defasagem(−0.33) | Ing(−0.31) | IPV(−0.19),Médio,0.4027
RA-770,Aluno-770,0,Ametista,7.3057112782,0.4676,0.4291,0.7543,0.524,0.3613,Idade(−0.82) | Defasagem(−0.11) | FaseIdeal_num(−0.11),Médio,0.3643
RA-1374,Aluno-1374,0,Ametista,7.3707652174,0.3832,0.364,0.2885,0.2122,0.3611,Idade(−0.75) | Defasagem(−0.12) | gap_Mat_Por(+0.11),Médio,0.3263
RA-1359,Aluno-1359,0,Ametista,7.2102,0.376,0.3514,0.3929,0.2214,0.3606,Idade(−0.72) | gap_Por_Ing(+0.21) | Defasagem(−0.17),Médio,0.2543
RA-1619,Aluno-1619,5,Ametista,7.393951851866667,0.4153,0.3891,0.2749,0.1839,0.3605,Defasagem(−0.34) | IPV(−0.22) | Ing(−0.20),Médio,0.2818
RA-19,Aluno-19,8,,,0.5775,0.6849,0.7082,0.4614,0.36,Ing(−0.38) | Defasagem(−0.33) | IPV(−0.19),Médio,0.3883
RA-1008,Aluno-1008,0,Agata,6.8667414438000005,0.3973,0.4494,0.2526,0.1896,0.359,Idade(−0.88) | gap_Mat_Por(+0.13) | FaseIdeal_num(−0.13),Médio,0.3842
RA-1400,Aluno-1400,1,Ametista,7.622839525700001,0.4369,0.4743,0.3816,0.2685,0.359,Idade(−0.87) | gap_Por_Ing(+0.22) | Defasagem(−0.18),Médio,0.3995
RA-158,Aluno-158,5,Agata,6.855159259266667,0.4633,0.4736,0.3185,0.2806,0.3579,Defasagem(−0.40) | Ing(−0.29) | Idade(+0.14),Médio,0.3551
RA-1317,Aluno-1317,0,Ametista,7.665638502700001,0.4075,0.4589,0.5101,0.3462,0.3578,Idade(−0.79) | gap_Por_Ing(+0.16) | FaseIdeal_num(−0.15),Médio,0.3812
RA-1295,Aluno-1295,0,Topázio,8.0617454545,0.4183,0.4645,0.4694,0.3215,0.3578,Idade(−0.74) | gap_Por_Ing(+0.21) | Defasagem(−0.19),Médio,0.3862
RA-1285,Aluno-1285,0,Topázio,8.156578882000002,0.454,0.4851,0.3961,0.2936,0.3554,Idade(−0.90) | gap_Por_Ing(+0.23) | Defasagem(−0.18),Médio,0.4206
RA-771,Aluno-771,0,Agata,6.066009523800001,0.3873,0.3587,0.5824,0.4327,0.3546,Idade(−0.65) | FaseIdeal_num(−0.12) | gap_Mat_Por(+0.10),Médio,0.2768
RA-949,Aluno-949,0,Ametista,7.1323428571,0.3567,0.3373,0.2622,0.161,0.3544,Idade(−0.66) | FaseIdeal_num(−0.12) | gap_Mat_Por(+0.11),Médio,0.2695
RA-1302,Aluno-1302,0,Quartzo,5.758866666800001,0.3923,0.3259,0.6138,0.3507,0.3544,Idade(−0.54) | Defasagem(−0.20) | FaseIdeal_num(−0.10),Médio,0.2409
RA-1288,Aluno-1288,0,Ametista,7.9208899585,0.3622,0.3681,0.3221,0.2083,0.3533,Idade(−0.65) | Defasagem(−0.19) | FaseIdeal_num(−0.16),Médio,0.2618
RA-524,Aluno-524,3,Ametista,7.026322556366667,0.4848,0.5075,0.8643,0.6561,0.3532,Defasagem(−0.43) | Ing(−0.30) | IPV(−0.16),Médio,0.4005
RA-1346,Aluno-1346,0,Ametista,7.3701047619,0.3701,0.3645,0.3051,0.2015,0.3531,Idade(−0.60) | Defasagem(−0.20) | gap_Mat_Por(+0.10),Médio,0.2678
RA-1336,Aluno-1336,0,Ametista,7.141365631500001,0.361,0.4013,0.8017,0.5151,0.353,Idade(−0.81) | FaseIdeal_num(−0.18) | Defasagem(−0.10),Médio,0.2765
RA-959,Aluno-959,0,Topázio,8.379818421100001,0.4046,0.42,0.7525,0.501,0.3527,Idade(−0.76) | FaseIdeal_num(−0.18) | gap_Por_Ing(+0.14),Médio,0.3891
RA-217,Aluno-217,5,Ametista,7.4209164502,0.4628,0.4668,0.7365,0.5841,0.3522,IPV(−0.35) | Defasagem(−0.21) | gap_Mat_Por(−0.18),Médio,0.3696
RA-1342,Aluno-1342,0,Ametista,7.8185809524,0.3518,0.3101,0.5396,0.2785,0.3521,Idade(−0.52) | gap_Por_Ing(+0.21) | gap_Mat_Por(−0.18),Médio,0.2335
RA-573,Aluno-573,3,Ametista,7.839050000000001,0.3864,0.363,0.4999,0.3957,0.352,IPS_z_faseAno(+0.27) | Defasagem(−0.25) | IPV(−0.16),Médio,0.2673
RA-863,Aluno-863,0,Quartzo,4.6684348484,0.3877,0.3776,0.8555,0.6547,0.3519,Idade(−0.63) | gap_Mat_Por(−0.19) | IAA_decile_fase(+0.16),Médio,0.2967
RA-1494,Aluno-1494,2,Quartzo,5.8748823529,0.4574,0.4511,0.2831,0.1758,0.3519,Defasagem(−0.32) | gap_Mat_Por(−0.18) | Idade(+0.16),Médio,0.3332
RA-978,Aluno-978,0,Ametista,7.4637,0.34,0.3914,0.2681,0.1891,0.3511,Idade(−0.75) | gap_Mat_Por(+0.11) | FaseIdeal_num(−0.11),Médio,0.3019
RA-1338,Aluno-1338,0,Agata,6.1368428571,0.3997,0.3597,0.2623,0.1833,0.3507,Idade(−0.60) | FaseIdeal_num(−0.12) | IAA_decile_fase(+0.11),Médio,0.2885
RA-527,Aluno-527,2,Topázio,8.1403666666,0.4584,0.4982,0.7458,0.5311,0.3505,Defasagem(−0.31) | Idade(+0.18) | gap_Por_Ing(−0.17),Médio,0.4121
RA-1019,Aluno-1019,1,Topázio,8.692255194900001,0.3937,0.4021,0.5822,0.4164,0.35,Idade(−0.70) | gap_Por_Ing(+0.22) | FaseIdeal_num(−0.19),Médio,0.2977
RA-1090,Aluno-1090,3,Ametista,7.7652831384,0.3905,0.3361,0.6693,0.3776,0.3496,Defasagem(−0.36) | Ing(−0.33) | gap_Por_Ing(−0.18),Médio,0.2438
RA-325,Aluno-325,3,Topázio,8.385133333233336,0.4495,0.4411,0.7685,0.4911,0.3493,Defasagem(−0.39) | Ing(−0.22) | Idade(+0.16),Médio,0.3486
RA-1361,Aluno-1361,0,Topázio,8.738700000000001,0.3648,0.3991,0.3949,0.2453,0.3489,Idade(−0.77) | Defasagem(−0.18) | FaseIdeal_num(−0.17),Médio,0.3011
RA-1602,Aluno-1602,5,Topázio,8.041889814800001,0.4007,0.3498,0.4147,0.2319,0.348,Defasagem(−0.42) | Ing(−0.28) | IPS_z_faseAno(+0.25),Médio,0.2577
RA-1297,Aluno-1297,0,Ametista,7.620247619000001,0.3246,0.3069,0.7124,0.3859,0.3476,Idade(−0.51) | gap_Mat_Por(−0.19) | FaseIdeal_num(−0.15),Médio,0.2044
RA-1318,Aluno-1318,0,Agata,6.823383155100001,0.4196,0.4491,0.296,0.2225,0.3476,Idade(−0.73) | IPV(−0.14) | FaseIdeal_num(−0.12),Médio,0.3498
RA-1306,Aluno-1306,0,Topázio,8.503033333400001,0.3673,0.3811,0.5607,0.3367,0.3473,Idade(−0.90) | IPS_z_faseAno(+0.22) | FaseIdeal_num(−0.22),Médio,0.2665
RA-459,Aluno-459,4,Ametista,7.233804589400001,0.4128,0.402,0.3084,0.2601,0.3472,Defasagem(−0.38) | Ing(−0.28) | IPV(−0.12),Médio,0.2939
RA-531,Aluno-531,3,Ametista,7.912792647066667,0.3399,0.3134,0.4032,0.2388,0.3467,Defasagem(−0.37) | IPV(−0.22) | Ing(−0.19),Médio,0.243
RA-271,Aluno-271,5,Ametista,7.400633333333334,0.4293,0.4212,0.8288,0.6455,0.3466,IPV(−0.26) | Ing(−0.25) | Defasagem(−0.17),Médio,0.3012
RA-1127,Aluno-1127,3,Topázio,8.180966666666668,0.4968,0.4796,0.431,0.3304,0.3464,Defasagem(−0.43) | Idade(+0.20) | gap_Por_Ing(−0.20),Médio,0.4145
RA-547,Aluno-547,3,Ametista,7.210290672333333,0.4219,0.4484,0.6954,0.5666,0.3463,Defasagem(−0.34) | IPV(−0.21) | gap_Por_Ing(−0.14),Médio,0.3682
RA-1154,Aluno-1154,3,Ametista,7.566075,0.4199,0.4357,0.2981,0.2531,0.3463,Ing(−0.36) | IPV(−0.24) | Defasagem(−0.18),Médio,0.3553
RA-546,Aluno-546,3,Quartzo,5.702426010066667,0.4785,0.4683,0.5058,0.3281,0.3461,Defasagem(−0.31) | Ing(−0.30) | IPV(−0.13),Médio,0.3641
RA-1364,Aluno-1364,0,Ametista,7.570033333300001,0.3401,0.3253,0.3852,0.2193,0.3459,Idade(−0.69) | gap_Por_Ing(+0.24) | gap_Mat_Por(−0.18),Médio,0.2582
RA-1006,Aluno-1006,0,Ametista,7.040088888900001,0.3665,0.3602,0.2587,0.1784,0.3457,Idade(−0.85) | FaseIdeal_num(−0.14) | Defasagem(−0.10),Médio,0.2969
RA-951,Aluno-951,0,Agata,6.4483428571,0.3508,0.3582,0.2604,0.1639,0.3452,Idade(−0.71) | gap_Mat_Por(−0.13) | FaseIdeal_num(−0.13),Médio,0.2681
RA-1326,Aluno-1326,0,Ametista,7.6397833333,0.3222,0.3155,0.2921,0.1867,0.3442,Idade(−0.69) | Defasagem(−0.18) | gap_Por_Ing(+0.14),Médio,0.2318
RA-1404,Aluno-1404,1,Topázio,8.3971318182,0.3888,0.3896,0.3846,0.2394,0.3438,Idade(−0.87) | Defasagem(−0.18) | FaseIdeal_num(−0.18),Médio,0.3644
RA-528,Aluno-528,3,Ametista,7.276330075300001,0.3739,0.3344,0.818,0.5199,0.3438,Defasagem(−0.31) | IPV(−0.29) | gap_Por_Ing(−0.14),Médio,0.2593
RA-604,Aluno-604,3,Ametista,7.429623555266667,0.3685,0.3721,0.5331,0.3431,0.3429,Defasagem(−0.33) | IPV(−0.19) | Ing(−0.18),Médio,0.2762
RA-977,Aluno-977,0,Ametista,7.188033333300001,0.4284,0.4266,0.7363,0.5026,0.3427,Idade(−0.94) | FaseIdeal_num(−0.16) | IAA_decile_fase(−0.11),Médio,0.3244
RA-925,Aluno-925,0,Agata,6.587019518800001,0.3838,0.3904,0.2624,0.1803,0.3415,Idade(−0.76) | IPV(−0.13) | FaseIdeal_num(−0.12),Médio,0.2847
RA-922,Aluno-922,1,Topázio,8.5209954545,0.433,0.4842,0.3317,0.2718,0.3411,Idade(−0.82) | gap_Por_Ing(+0.23) | FaseIdeal_num(−0.18),Médio,0.4077
RA-1000,Aluno-1000,1,Topázio,8.364790909100002,0.4004,0.4332,0.4792,0.3585,0.3407,Idade(−0.70) | gap_Por_Ing(+0.24) | FaseIdeal_num(−0.17),Médio,0.3518
RA-953,Aluno-953,1,Ametista,7.961241502000001,0.4265,0.3981,0.451,0.3127,0.34,Idade(−0.73) | Defasagem(−0.18) | FaseIdeal_num(−0.17),Médio,0.3373
RA-658,Aluno-658,3,Ametista,7.507033333333333,0.383,0.3665,0.3008,0.2307,0.3396,Defasagem(−0.31) | IPV(−0.16) | gap_Por_Ing(−0.16),Médio,0.2651
RA-1388,Aluno-1388,0,Ametista,7.015057142799999,0.408,0.4577,0.3065,0.2298,0.3393,Idade(−0.95) | FaseIdeal_num(−0.18) | Defasagem(−0.11),Médio,0.3752
RA-1379,Aluno-1379,0,Agata,6.638292105300001,0.3709,0.3306,0.6532,0.3643,0.339,Idade(−0.57) | gap_Mat_Por(−0.16) | FaseIdeal_num(−0.12),Médio,0.256
RA-854,Aluno-854,1,Ametista,7.826199999900001,0.3794,0.3547,0.5022,0.3074,0.3387,Idade(−0.47) | Defasagem(−0.17) | IAA_decile_fase(−0.11),Médio,0.2457
RA-363,Aluno-363,3,Ametista,7.617803571466666,0.396,0.3782,0.7597,0.4474,0.3387,Defasagem(−0.32) | Ing(−0.25) | IPV(−0.25),Médio,0.2351
RA-1365,Aluno-1365,0,Ametista,7.3700333333,0.3359,0.3483,0.4325,0.2539,0.3387,Idade(−0.71) | IPV(−0.15) | Defasagem(−0.11),Médio,0.2389
RA-1369,Aluno-1369,0,Topázio,8.052286956500001,0.3495,0.3224,0.3165,0.1932,0.3383,Idade(−0.75) | gap_Por_Ing(+0.26) | Defasagem(−0.18),Médio,0.2597
RA-1334,Aluno-1334,0,Topázio,8.350200000000001,0.3393,0.3316,0.5119,0.2804,0.3383,Idade(−0.76) | gap_Por_Ing(+0.21) | FaseIdeal_num(−0.20),Médio,0.2151
