RA,Nome Anonimizado,Fase,Pedra atual,INDE atual,prob_composite,faixa_risco_composite
RA-616,Aluno-616,3,Quartzo,5.457877193033333,0.6043,Alto
RA-1556,Aluno-1556,3,Agata,6.666811111166668,0.6043,Alto
RA-457,Aluno-457,4,Topázio,8.5892756038,0.604,Alto
RA-1457,Aluno-1457,2,Agata,6.0197761904,0.604,Alto
RA-40,Aluno-40,7,Ametista,7.098051462066667,0.6035,Alto
RA-421,Aluno-421,4,Topázio,8.488232329,0.6034,Alto
RA-1618,Aluno-1618,5,Ametista,7.0487660130666665,0.6018,Alto
RA-570,Aluno-570,2,Agata,6.8133640787,0.6008,Alto
RA-1467,Aluno-1467,2,Topázio,8.836711278200001,0.5997,Médio
RA-1022,Aluno-1022,1,Ametista,7.613169697000002,0.5987,Médio
RA-1590,Aluno-1590,4,Topázio,8.1907875086,0.5986,Médio
RA-577,Aluno-577,2,Agata,6.629159109700001,0.5986,Médio
RA-807,Aluno-807,1,Ametista,7.797628571400001,0.5982,Médio
RA-1429,Aluno-1429,1,Topázio,8.041811111100001,0.5981,Médio
RA-741,Aluno-741,1,Quartzo,5.0795885374,0.5976,Médio
RA-601,Aluno-601,1,Topázio,8.5107,0.5972,Médio
RA-306,Aluno-306,5,Agata,6.1661539474,0.597,Médio
RA-1410,Aluno-1410,1,Ametista,7.5319272727,0.5963,Médio
RA-939,Aluno-939,1,Ametista,7.051379841899999,0.5959,Médio
RA-830,Aluno-830,1,Ametista,7.1373428571,0.5959,Médio
RA-776,Aluno-776,1,Quartzo,5.178509523800001,0.5955,Médio
RA-411,Aluno-411,4,Ametista,7.279762962966667,0.5952,Médio
RA-1498,Aluno-1498,2,Ametista,7.147881818200001,0.5952,Médio
RA-258,Aluno-258,3,Agata,6.429063888866667,0.595,Médio
RA-690,Aluno-690,1,Ametista,7.3853681818,0.5945,Médio
RA-503,Aluno-503,3,Topázio,8.547495614066667,0.5945,Médio
RA-1601,Aluno-1601,5,Ametista,7.2431,0.5944,Médio
