RA,Fase,Pedra_atual,INDE_atual,prob_risk_defasagem_worsen,faixa_risco_alt
RA-1651,9,,,0.3234,Baixo
RA-1641,9,,,0.3234,Baixo
RA-1643,9,,,0.3234,Baixo
RA-1656,9,,,0.3234,Baixo
RA-1654,9,,,0.3234,Baixo
RA-1653,9,,,0.3234,Baixo
RA-1235,9,,,0.3234,Baixo
RA-1637,9,,,0.3234,Baixo
RA-1268,9,,,0.3234,Baixo
RA-1648,9,,,0.3234,Baixo
RA-1646,9,,,0.3234,Baixo
RA-1260,9,,,0.3234,Baixo
RA-1639,9,,,0.3234,Baixo
RA-1254,9,,,0.3234,Baixo
RA-1650,9,,,0.3234,Baixo
RA-1657,9,,,0.3234,Baixo
RA-1659,9,,,0.3234,Baixo
RA-1658,9,,,0.3234,Baixo
RA-878,1,Agata,6.5335560606000005,0.3233,Baixo
RA-704,1,Agata,6.8121156785000005,0.3228,Baixo
RA-1017,2,Ametista,7.345521428500001,0.3223,Baixo
RA-499,2,Ametista,7.5794738095,0.3218,Baixo
RA-977,0,Ametista,7.188033333300001,0.3218,Baixo
RA-1605,5,Quartzo,4.920488888866667,0.3201,Baixo
RA-1499,2,Ametista,7.914800000000001,0.3201,Baixo
RA-1594,4,Quartzo,5.731267287800001,0.318,Baixo
RA-518,3,Agata,6.3467483709,0.3175,Baixo
RA-714,2,Quartzo,5.4653662008,0.3174,Baixo
RA-1476,2,Topázio,8.80795,0.3163,Baixo
RA-754,0,Quartzo,5.6127,0.3161,Baixo
RA-1230,7,Quartzo,4.7612000000000005,0.316,Baixo
RA-480,2,Ametista,7.260202380900001,0.314,Baixo
RA-1008,0,Agata,6.8667414438000005,0.3129,Baixo
RA-147,5,Ametista,7.400477922133334,0.3124,Baixo
RA-591,2,Agata,6.8360336957,0.3117,Baixo
RA-855,2,Topázio,8.578533333400001,0.3113,Baixo
RA-777,2,Ametista,7.563515408100001,0.3104,Baixo
RA-273,4,Agata,6.5991307798,0.3102,Baixo
RA-161,5,Ametista,7.258445588333334,0.3092,Baixo
RA-806,1,Agata,6.972777380900001,0.3089,Baixo
RA-80,7,Topázio,8.131659175733333,0.3082,Baixo
RA-381,3,Quartzo,5.940775,0.3081,Baixo
RA-1526,3,Ametista,7.9798,0.3067,Baixo
RA-1425,1,Agata,6.8290988095000005,0.3059,Baixo
RA-1405,1,Topázio,8.4749727273,0.3058,Baixo
RA-991,1,Ametista,7.057230303000001,0.3051,Baixo
RA-127,5,Topázio,8.5605939394,0.304,Baixo
RA-853,1,Ametista,7.986866666600001,0.3036,Baixo
RA-1006,0,Ametista,7.040088888900001,0.3035,Baixo
RA-1089,3,Ametista,7.6221531746,0.3034,Baixo
RA-1456,2,Topázio,8.492914285800001,0.3033,Baixo
RA-1581,4,Agata,6.9787022855,0.3022,Baixo
RA-807,1,Ametista,7.797628571400001,0.3017,Baixo
RA-1454,2,Ametista,7.7042238095,0.3013,Baixo
RA-797,2,Agata,6.597315151500001,0.301,Baixo
RA-1611,5,Agata,6.4589186218000005,0.3008,Baixo
RA-467,4,Ametista,7.729811842133333,0.3006,Baixo
RA-1532,3,Quartzo,4.548544781066667,0.3,Baixo
RA-1146,3,Quartzo,5.3933086048000005,0.2999,Baixo
RA-1306,0,Topázio,8.503033333400001,0.2997,Baixo
RA-1524,3,Quartzo,5.5473805555333335,0.2983,Baixo
RA-1012,0,Topázio,8.057128571400002,0.2979,Baixo
RA-1226,7,Ametista,7.785233333333334,0.2975,Baixo
RA-946,0,Agata,6.677723809500001,0.2972,Baixo
RA-1336,0,Ametista,7.141365631500001,0.297,Baixo
RA-981,0,Agata,6.6513739130000005,0.2965,Baixo
RA-1512,2,Topázio,8.10445,0.2964,Baixo
RA-181,5,Ametista,7.439841414133334,0.2963,Baixo
RA-687,2,Topázio,8.2739844611,0.2963,Baixo
RA-858,0,Agata,6.917866666700001,0.2959,Baixo
RA-48,7,Topázio,8.402390371800001,0.2932,Baixo
RA-974,0,Ametista,7.6077217391,0.2932,Baixo
RA-888,0,Topázio,8.1942,0.2929,Baixo
RA-1312,0,Ametista,7.510200000000001,0.2923,Baixo
RA-921,0,Ametista,7.2838203209,0.2914,Baixo
RA-1097,3,Quartzo,5.475324895633334,0.2913,Baixo
RA-889,0,Topázio,8.191290909100001,0.2905,Baixo
RA-1328,0,Topázio,8.0588666667,0.2892,Baixo
RA-925,0,Agata,6.587019518800001,0.2887,Baixo
RA-893,1,Topázio,8.8910333334,0.2884,Baixo
RA-710,2,Ametista,7.0366241342,0.2876,Baixo
RA-260,4,Topázio,8.448920634933334,0.2872,Baixo
RA-549,2,Agata,6.5398187888,0.2863,Baixo
RA-1373,0,Ametista,7.577286956500001,0.2862,Baixo
RA-1623,6,Ametista,7.7609537037333345,0.2857,Baixo
RA-801,1,Agata,6.6752,0.2852,Baixo
RA-308,5,Ametista,7.489282456133334,0.2843,Baixo
RA-1490,2,Ametista,7.3725768116,0.2834,Baixo
RA-1492,2,Topázio,8.479020512900002,0.2833,Baixo
RA-474,3,Agata,6.024753703733333,0.2832,Baixo
RA-568,3,Quartzo,5.545864285733334,0.2829,Baixo
RA-1292,0,Agata,6.9031621211,0.2825,Baixo
RA-1337,0,Agata,6.015144444400001,0.2824,Baixo
RA-1173,5,Topázio,8.220132915666667,0.2813,Baixo
RA-132,6,Topázio,8.4746321428,0.2807,Baixo
RA-951,0,Agata,6.4483428571,0.2804,Baixo
RA-417,4,Topázio,8.533628557533333,0.2804,Baixo
RA-770,0,Ametista,7.3057112782,0.2794,Baixo
RA-1508,2,Topázio,8.1804207793,0.2794,Baixo
RA-113,5,Ametista,7.043536903066667,0.2793,Baixo
RA-320,5,Topázio,8.442258333333335,0.2783,Baixo
RA-731,2,Quartzo,4.7704873377000006,0.2779,Baixo
RA-904,0,Ametista,7.6352,0.2778,Baixo
RA-1384,0,Agata,6.221984461100001,0.2777,Baixo
RA-1481,2,Agata,6.860721739100001,0.2776,Baixo
RA-1421,1,Ametista,7.126922222200001,0.2766,Baixo
RA-1374,0,Ametista,7.3707652174,0.2762,Baixo
RA-862,0,Ametista,7.346677272700001,0.2747,Baixo
RA-1296,0,Ametista,7.0574222223000005,0.2743,Baixo
RA-727,1,Topázio,8.447003030300001,0.2742,Baixo
RA-895,0,Topázio,8.2579575757,0.2738,Baixo
RA-1030,2,Ametista,7.740191604,0.2735,Baixo
RA-973,0,Agata,6.9318363636,0.2728,Baixo
RA-975,0,Ametista,7.1463666667000005,0.2727,Baixo
RA-1610,5,Agata,6.7023729275666675,0.2726,Baixo
RA-1300,0,Ametista,7.623866666600001,0.2711,Baixo
RA-1027,2,Topázio,8.220866666700001,0.2702,Baixo
RA-110,5,Topázio,8.6324939394,0.2688,Baixo
RA-1220,6,Ametista,7.143244444466667,0.2682,Baixo
RA-686,2,Topázio,8.040259523700001,0.2677,Baixo
RA-604,3,Ametista,7.429623555266667,0.2676,Baixo
RA-1543,3,Agata,6.754584615400001,0.2658,Baixo
RA-924,0,Agata,6.4727360962,0.2657,Baixo
RA-778,2,Topázio,8.0754139589,0.2647,Baixo
RA-316,5,Topázio,8.708925,0.2642,Baixo
RA-1626,6,Topázio,8.541085606066668,0.2621,Baixo
RA-1188,5,Ametista,7.801633333400001,0.2612,Baixo
RA-705,1,Quartzo,5.294247619100001,0.2607,Baixo
RA-798,2,Quartzo,4.6743653679,0.2607,Baixo
RA-730,2,Topázio,8.469255555700002,0.2604,Baixo
RA-1318,0,Agata,6.823383155100001,0.2603,Baixo
RA-1549,3,Agata,6.514862200466668,0.2603,Baixo
RA-698,2,Ametista,7.3363190476,0.2597,Baixo
RA-1436,1,Ametista,7.589914648100001,0.2596,Baixo
RA-1442,1,Ametista,7.135189648100001,0.2588,Baixo
RA-286,5,Quartzo,5.123180882333333,0.2581,Baixo
RA-1147,3,Quartzo,5.833118518533334,0.2571,Baixo
RA-458,3,Quartzo,5.680161507933333,0.2564,Baixo
RA-1498,2,Ametista,7.147881818200001,0.2561,Baixo
RA-411,4,Ametista,7.279762962966667,0.2561,Baixo
RA-1317,0,Ametista,7.665638502700001,0.2559,Baixo
RA-607,2,Ametista,7.6486021739,0.255,Baixo
RA-1529,3,Agata,6.710079487200001,0.2547,Baixo
RA-885,0,Topázio,8.2072,0.2544,Baixo
RA-1304,0,Ametista,7.085119934500001,0.2539,Baixo
RA-1376,0,Topázio,8.2742769231,0.2538,Baixo
RA-745,2,Topázio,8.6102,0.2529,Baixo
RA-867,0,Ametista,7.583018181800001,0.2522,Baixo
RA-422,3,Quartzo,5.544981481433334,0.2521,Baixo
RA-1534,3,Ametista,7.188366666666667,0.2513,Baixo
RA-407,4,Ametista,7.0875128168,0.2505,Baixo
RA-1540,3,Quartzo,5.696233333333334,0.2502,Baixo
RA-558,3,Quartzo,5.048054503133334,0.2494,Baixo
RA-1333,0,Topázio,8.213199999999999,0.2458,Baixo
RA-746,2,Ametista,7.903311111100001,0.2457,Baixo
RA-886,0,Topázio,8.419200000000002,0.2449,Baixo
RA-204,4,Ametista,7.838218894866668,0.2449,Baixo
RA-1614,5,Agata,6.787898989933334,0.2441,Baixo
RA-752,2,Agata,6.57279265,0.2437,Baixo
RA-1111,3,Agata,6.116032815733334,0.2436,Baixo
RA-493,3,Ametista,7.464325,0.2435,Baixo
RA-624,2,Ametista,7.229425672900001,0.2432,Baixo
RA-1077,3,Quartzo,5.543865740733334,0.2431,Baixo
RA-183,4,Topázio,8.266902371533334,0.2429,Baixo
RA-929,0,Ametista,7.7244368421,0.2421,Baixo
RA-271,5,Ametista,7.400633333333334,0.2421,Baixo
RA-1489,2,Quartzo,5.9842289855000015,0.2414,Baixo
RA-774,0,Quartzo,5.685771428600001,0.2408,Baixo
RA-1564,4,Quartzo,5.0761468806000005,0.2407,Baixo
RA-1319,0,Ametista,7.201526797300001,0.2392,Baixo
RA-123,6,Agata,6.887248015866668,0.2386,Baixo
RA-247,4,Agata,6.646485739800001,0.2383,Baixo
RA-1497,2,Quartzo,5.2423787879,0.2378,Baixo
RA-1103,2,Ametista,7.861995031000001,0.2369,Baixo
RA-1357,0,Ametista,7.1807,0.2368,Baixo
RA-931,0,Ametista,7.075466666700001,0.2368,Baixo
RA-112,6,Topázio,8.052609920666667,0.2359,Baixo
RA-189,5,Topázio,8.586533333333334,0.2356,Baixo
RA-1287,0,Ametista,7.619650310500001,0.2354,Baixo
RA-1281,0,Ametista,7.982890909100001,0.2352,Baixo
RA-771,0,Agata,6.066009523800001,0.2347,Baixo
RA-763,1,Agata,6.984760606,0.2344,Baixo
RA-35,8,,,0.2342,Baixo
RA-444,3,Quartzo,5.410188638266668,0.2342,Baixo
RA-937,0,Topázio,8.3792,0.2342,Baixo
RA-31,8,,,0.2342,Baixo
RA-737,2,Topázio,8.4695488613,0.2338,Baixo
RA-851,1,Agata,6.2114602109,0.2336,Baixo
RA-1517,3,Agata,6.240744444466667,0.2335,Baixo
RA-1458,2,Quartzo,5.879073684200001,0.2333,Baixo
RA-639,3,Quartzo,5.7693807644,0.231,Baixo
RA-669,3,Agata,6.6438703703,0.2297,Baixo
RA-472,2,Agata,6.6397610766,0.2294,Baixo
RA-1071,2,Quartzo,4.8048623378,0.2293,Baixo
RA-78,7,Topázio,8.1780308688,0.2279,Baixo
RA-305,4,Agata,6.693026811600001,0.2279,Baixo
RA-38,8,,,0.2277,Baixo
RA-384,4,Topázio,8.072200721466668,0.2276,Baixo
RA-1316,0,Ametista,7.59291123,0.2267,Baixo
RA-1014,0,Agata,6.315972727300001,0.2261,Baixo
RA-1282,0,Ametista,7.8769272727000015,0.2254,Baixo
RA-652,2,Ametista,7.361896969700001,0.2254,Baixo
RA-1619,5,Ametista,7.393951851866667,0.2253,Baixo
RA-930,0,Ametista,7.9298184211,0.2242,Baixo
RA-884,0,Topázio,8.0345030302,0.2241,Baixo
RA-1293,0,Topázio,8.005023232300001,0.2238,Baixo
RA-36,8,,,0.2237,Baixo
RA-1271,8,,,0.2237,Baixo
RA-1274,8,,,0.2237,Baixo
RA-1263,8,,,0.2237,Baixo
RA-1270,8,,,0.2237,Baixo
RA-2,8,,,0.2237,Baixo
RA-25,8,,,0.2237,Baixo
RA-1239,8,,,0.2237,Baixo
RA-1269,8,,,0.2237,Baixo
RA-1,8,,,0.2237,Baixo
RA-49,8,,,0.2237,Baixo
RA-1272,8,,,0.2237,Baixo
RA-1225,8,,,0.2237,Baixo
RA-12,8,,,0.2237,Baixo
RA-6,8,,,0.2237,Baixo
RA-1352,0,Topázio,8.289950000000001,0.2235,Baixo
RA-805,1,Agata,6.9375869048,0.2233,Baixo
RA-211,5,Topázio,8.283601875933334,0.2227,Baixo
RA-1082,2,Agata,6.6114857142,0.2225,Baixo
RA-1216,8,,,0.2216,Baixo
RA-19,8,,,0.2216,Baixo
RA-969,0,Ametista,7.453427272700001,0.2214,Baixo
RA-377,4,Ametista,7.480115873000001,0.2208,Baixo
RA-629,2,Topázio,8.061295238200001,0.2204,Baixo
RA-908,0,Agata,6.764292246,0.2204,Baixo
RA-643,2,Agata,6.402239075100001,0.2203,Baixo
RA-497,2,Quartzo,4.4960809524,0.2203,Baixo
RA-388,4,Quartzo,5.965307936466667,0.2198,Baixo
RA-1279,0,Topázio,8.0822,0.2197,Baixo
RA-950,0,Ametista,7.693461904800001,0.2192,Baixo
RA-1366,0,Agata,6.919852173900001,0.2191,Baixo
RA-1009,0,Agata,6.395389393900001,0.2186,Baixo
RA-455,3,Ametista,7.098988888900001,0.218,Baixo
RA-1244,8,,,0.218,Baixo
RA-1253,8,,,0.218,Baixo
RA-1264,8,,,0.218,Baixo
RA-1634,8,,,0.218,Baixo
RA-1246,8,,,0.218,Baixo
RA-1242,8,,,0.218,Baixo
RA-1236,8,,,0.218,Baixo
RA-1234,8,,,0.218,Baixo
RA-1251,8,,,0.218,Baixo
RA-1636,8,,,0.218,Baixo
RA-1241,8,,,0.218,Baixo
RA-1262,8,,,0.218,Baixo
RA-1635,8,,,0.218,Baixo
RA-1261,8,,,0.218,Baixo
RA-1259,8,,,0.218,Baixo
RA-1256,8,,,0.218,Baixo
RA-653,3,Topázio,8.103217647033333,0.2178,Baixo
RA-39,8,,,0.2175,Baixo
RA-1100,3,Agata,6.649708333333334,0.2171,Baixo
RA-1334,0,Topázio,8.350200000000001,0.2157,Baixo
RA-1273,8,,,0.2156,Baixo
RA-107,5,Agata,6.676130827066667,0.2152,Baixo
RA-941,0,Ametista,7.746700000000001,0.2148,Baixo
RA-1003,0,Ametista,7.627588888900001,0.214,Baixo
RA-522,2,Topázio,8.6777119048,0.2138,Baixo
RA-62,8,,,0.2135,Baixo
RA-304,3,Agata,6.852411484600001,0.2131,Baixo
RA-868,0,Ametista,7.156366666600001,0.2127,Baixo
RA-725,0,Ametista,7.0900771929,0.2127,Baixo
RA-1544,3,Agata,6.905568627466667,0.2119,Baixo
RA-918,0,Quartzo,5.657357017600001,0.2115,Baixo
RA-529,2,Quartzo,5.2661285715,0.2104,Baixo
RA-445,3,Ametista,7.3416246032,0.2103,Baixo
RA-712,2,Agata,6.2236373706000006,0.2102,Baixo
RA-1555,3,Ametista,7.4827333334,0.2095,Baixo
RA-1278,0,Quartzo,5.444199999900001,0.2094,Baixo
RA-1290,0,Topázio,8.407200000000001,0.2092,Baixo
RA-1365,0,Ametista,7.3700333333,0.2085,Baixo
RA-424,4,Ametista,7.341187280733334,0.2082,Baixo
RA-1507,2,Quartzo,5.046077056300001,0.2075,Baixo
RA-841,2,Agata,6.035771224300001,0.207,Baixo
RA-799,2,Ametista,7.702648484900001,0.2068,Baixo
RA-934,0,Topázio,8.338700000000001,0.2067,Baixo
RA-1527,3,Topázio,8.631675000000001,0.2064,Baixo
RA-331,3,Agata,6.231045707066668,0.2053,Baixo
RA-958,1,Topázio,9.531325,0.2046,Baixo
RA-1160,3,Agata,6.274190982333334,0.2045,Baixo
RA-959,0,Topázio,8.379818421100001,0.2044,Baixo
RA-1280,0,Topázio,8.152624242500002,0.2043,Baixo
RA-880,0,Agata,6.853080434800001,0.203,Baixo
RA-1607,5,Quartzo,4.899894444466667,0.2029,Baixo
RA-1324,0,Topázio,8.332450000000001,0.2029,Baixo
RA-863,0,Quartzo,4.6684348484,0.2027,Baixo
RA-1547,3,Agata,6.748480626800001,0.2027,Baixo
RA-17,8,,,0.2026,Baixo
RA-26,8,,,0.2026,Baixo
RA-1632,6,Topázio,8.389333333333335,0.2023,Baixo
RA-1116,3,Quartzo,3.7894777778,0.2022,Baixo
RA-1136,3,Quartzo,5.458179831866667,0.2016,Baixo
RA-832,2,Topázio,8.2403304348,0.2013,Baixo
RA-1506,2,Ametista,7.151855844200001,0.2012,Baixo
RA-920,0,Ametista,7.7494938597,0.2005,Baixo
RA-1348,0,Ametista,7.9604662539,0.1999,Baixo
RA-1106,3,Quartzo,5.936272086266667,0.1998,Baixo
RA-776,1,Quartzo,5.178509523800001,0.1996,Baixo
RA-1063,2,Ametista,7.279250000000001,0.1988,Baixo
RA-1618,5,Ametista,7.0487660130666665,0.1984,Baixo
RA-649,3,Agata,6.985329691766667,0.1981,Baixo
RA-945,0,Ametista,7.4195809524,0.1975,Baixo
RA-994,0,Ametista,7.7982217391,0.1972,Baixo
RA-1221,8,,,0.1961,Baixo
RA-571,2,Agata,6.2964554347999995,0.1958,Baixo
RA-1553,3,Ametista,7.641184313700001,0.1956,Baixo
RA-672,1,Quartzo,4.2118138341,0.1955,Baixo
RA-1501,2,Topázio,8.04495,0.1953,Baixo
RA-833,2,Topázio,8.5184577641,0.195,Baixo
RA-584,3,Agata,6.752914393933334,0.1933,Baixo
RA-59,8,,,0.1933,Baixo
RA-7,8,,,0.1932,Baixo
RA-29,8,,,0.1932,Baixo
RA-21,8,,,0.1932,Baixo
RA-23,8,,,0.1932,Baixo
RA-14,8,,,0.1932,Baixo
RA-13,8,,,0.1932,Baixo
RA-1250,8,,,0.1932,Baixo
RA-88,8,,,0.1932,Baixo
RA-949,0,Ametista,7.1323428571,0.1928,Baixo
RA-336,4,Agata,6.834286748466667,0.1928,Baixo
RA-907,0,Ametista,7.9400888889,0.1924,Baixo
RA-1496,2,Agata,6.7799738095,0.1921,Baixo
RA-1177,5,Topázio,8.3233039474,0.1916,Baixo
RA-681,1,Agata,6.0398818182000005,0.191,Baixo
RA-1131,3,Topázio,8.2889555555,0.1909,Baixo
RA-927,1,Ametista,7.9921696969,0.1903,Baixo
RA-392,4,Quartzo,4.3639463364,0.1901,Baixo
RA-1518,3,Quartzo,5.721382142866666,0.1901,Baixo
RA-1189,5,Ametista,7.6486387164,0.1897,Baixo
RA-1162,4,Ametista,7.473167836266667,0.1894,Baixo
RA-1013,0,Quartzo,5.7839559808,0.1893,Baixo
RA-952,1,Topázio,8.853624242300002,0.189,Baixo
RA-1505,2,Agata,6.7199171717,0.1889,Baixo
RA-81,6,Topázio,8.256566666666668,0.1886,Baixo
RA-1475,2,Ametista,7.413901754400001,0.1884,Baixo
RA-1224,8,,,0.1882,Baixo
RA-1633,8,,,0.188,Baixo
RA-1245,8,,,0.188,Baixo
RA-1255,8,,,0.188,Baixo
RA-1257,8,,,0.188,Baixo
RA-1249,8,,,0.188,Baixo
RA-1240,8,,,0.188,Baixo
RA-1248,8,,,0.188,Baixo
RA-1107,3,Quartzo,5.9731,0.1876,Baixo
RA-1472,2,Topázio,8.773575000000001,0.187,Baixo
RA-1301,0,Quartzo,5.6345333333,0.1868,Baixo
RA-155,8,,,0.1861,Baixo
RA-368,3,Agata,6.782158333333333,0.1861,Baixo
RA-173,8,,,0.1861,Baixo
RA-27,8,,,0.1861,Baixo
RA-1417,1,Ametista,7.7436242424,0.186,Baixo
RA-555,3,Quartzo,5.111470186333333,0.1856,Baixo
RA-871,1,Ametista,7.2917293148,0.185,Baixo
RA-1291,0,Topázio,8.079200000000002,0.1848,Baixo
RA-1265,8,,,0.1846,Baixo
RA-1598,5,Topázio,8.4656285714,0.1844,Baixo
RA-972,0,Ametista,7.537472727300001,0.1838,Baixo
RA-1169,4,Agata,6.885305555533334,0.1838,Baixo
RA-409,3,Topázio,8.225462962900002,0.1832,Baixo
RA-1392,0,Quartzo,5.4262,0.1832,Baixo
RA-603,3,Agata,6.942277777866667,0.183,Baixo
RA-1557,3,Topázio,8.228500000033334,0.1828,Baixo
RA-165,5,Topázio,8.4627502436,0.1828,Baixo
RA-215,5,Ametista,7.045258874400002,0.1825,Baixo
RA-106,6,Ametista,7.721664285733334,0.1816,Baixo
RA-1353,0,Agata,6.454700000000001,0.1814,Baixo
RA-501,2,Topázio,8.2779474937,0.1813,Baixo
RA-382,4,Quartzo,5.805712280733333,0.1811,Baixo
RA-96,8,,,0.1809,Baixo
RA-1493,2,Agata,6.378661323900001,0.1807,Baixo
RA-319,5,Ametista,7.948699561466667,0.1806,Baixo
RA-227,3,Topázio,8.074015455333335,0.1803,Baixo
RA-761,2,Topázio,8.174593939300001,0.1803,Baixo
RA-1386,0,Ametista,7.803580952400001,0.1802,Baixo
RA-1500,2,Ametista,7.360450000100002,0.1796,Baixo
RA-527,2,Topázio,8.1403666666,0.1791,Baixo
RA-1339,0,Ametista,7.3547,0.1787,Baixo
RA-1495,2,Topázio,8.4845030302,0.1781,Baixo
RA-1004,0,Ametista,7.801200000000001,0.1777,Baixo
RA-1344,0,Topázio,9.3612,0.1776,Baixo
RA-301,4,Topázio,8.410830701766667,0.1766,Baixo
RA-1311,0,Agata,6.4118666668,0.1761,Baixo
RA-1060,2,Agata,6.448416666600001,0.176,Baixo
RA-1303,0,Topázio,8.8352,0.1757,Baixo
RA-1049,1,Agata,6.821885606,0.1738,Baixo
RA-1473,2,Agata,6.689320600500001,0.1728,Baixo
RA-403,3,Topázio,8.008488888833334,0.1722,Baixo
RA-1426,1,Quartzo,5.8367476190000005,0.172,Baixo
RA-1207,5,Agata,6.509169736866667,0.1719,Baixo
RA-1308,0,Agata,6.876997101400001,0.1719,Baixo
RA-1134,3,Ametista,7.7564571427,0.1715,Baixo
RA-1297,0,Ametista,7.620247619000001,0.1715,Baixo
RA-630,2,Agata,6.879985507300001,0.171,Baixo
RA-633,3,Quartzo,5.228470175466667,0.1705,Baixo
RA-428,4,Ametista,7.534949122800001,0.1704,Baixo
RA-398,3,Ametista,7.2457999999666685,0.17,Baixo
RA-1345,0,Ametista,7.2340128655,0.17,Baixo
RA-594,2,Agata,6.890966666600001,0.1695,Baixo
RA-356,4,Agata,6.627336016533334,0.1688,Baixo
RA-1375,0,Topázio,8.101200000000002,0.1682,Baixo
RA-1423,1,Agata,6.403450000000001,0.1681,Baixo
RA-1154,3,Ametista,7.566075,0.1678,Baixo
RA-1090,3,Ametista,7.7652831384,0.1677,Baixo
RA-1556,3,Agata,6.666811111166668,0.1673,Baixo
RA-847,1,Quartzo,5.009290909100001,0.1668,Baixo
RA-1347,0,Agata,6.153842857100001,0.1666,Baixo
RA-1289,0,Ametista,7.2171722223,0.1656,Baixo
RA-947,0,Agata,6.053509523800001,0.1656,Baixo
RA-1482,2,Quartzo,5.2257,0.165,Baixo
RA-1509,2,Ametista,7.560230303200001,0.164,Baixo
RA-1130,3,Agata,6.563952941199999,0.1639,Baixo
RA-1174,5,Ametista,7.374213419866667,0.1638,Baixo
RA-471,4,Agata,6.635847117766667,0.1636,Baixo
RA-1370,0,Topázio,8.0456444444,0.1636,Baixo
RA-971,0,Agata,6.8916181818,0.1632,Baixo
RA-1535,3,Ametista,7.109390969933334,0.1631,Baixo
RA-636,2,Agata,6.3802279106,0.1628,Baixo
RA-1582,4,Agata,6.472788888966667,0.1623,Baixo
RA-979,0,Topázio,8.0352454545,0.1621,Baixo
RA-509,3,Agata,6.918152272733334,0.1621,Baixo
RA-1382,0,Ametista,7.834830952400001,0.1612,Baixo
RA-961,1,Agata,6.529417908900001,0.1609,Baixo
RA-1115,2,Agata,6.570068686900001,0.1592,Baixo
RA-967,1,Quartzo,5.442610714300001,0.1588,Baixo
RA-1478,2,Agata,6.7210333334,0.1586,Baixo
RA-562,3,Topázio,8.392733333333334,0.1584,Baixo
RA-1441,1,Topázio,8.961646169800002,0.1573,Baixo
RA-657,3,Topázio,8.207433333400001,0.1566,Baixo
RA-1418,1,Ametista,7.7352909091000015,0.1557,Baixo
RA-1550,3,Agata,6.064236111066667,0.1557,Baixo
RA-92,7,Topázio,8.052279017,0.1556,Baixo
RA-1541,3,Topázio,8.337,0.1552,Baixo
RA-306,5,Agata,6.1661539474,0.1551,Baixo
RA-1385,0,Ametista,7.7262,0.155,Baixo
RA-1034,2,Topázio,8.0333666666,0.1542,Baixo
RA-1525,3,Ametista,7.778263492033334,0.1537,Baixo
RA-1039,2,Ametista,7.549644444400001,0.1533,Baixo
RA-412,4,Topázio,8.044378070166667,0.1532,Baixo
RA-1552,3,Ametista,7.443301282066667,0.1513,Baixo
RA-836,1,Agata,6.0234537878,0.1512,Baixo
RA-1165,3,Ametista,7.908044272466667,0.1509,Baixo
RA-1528,3,Ametista,7.622584090933335,0.1505,Baixo
RA-387,3,Agata,6.125500000000001,0.15,Baixo
RA-655,3,Topázio,8.238600000066668,0.1498,Baixo
RA-40,7,Ametista,7.098051462066667,0.1498,Baixo
RA-1615,5,Topázio,8.417533333333333,0.1497,Baixo
RA-461,3,Ametista,7.5447559291,0.1496,Baixo
RA-1379,0,Agata,6.638292105300001,0.1492,Baixo
RA-1313,0,Topázio,8.0155333334,0.149,Baixo
RA-1364,0,Ametista,7.570033333300001,0.1487,Baixo
RA-662,3,Ametista,7.1074778554666675,0.1479,Baixo
RA-1387,0,Ametista,7.8030796992,0.1472,Baixo
RA-364,3,Topázio,8.2697037582,0.1472,Baixo
RA-401,3,Agata,6.728911403533334,0.1466,Baixo
RA-699,1,Agata,6.427771212000001,0.1463,Baixo
RA-1066,2,Ametista,7.9326223603,0.1459,Baixo
RA-1043,1,Ametista,7.539847562500002,0.1458,Baixo
RA-1617,5,Quartzo,4.926285714266666,0.1449,Baixo
RA-404,3,Agata,6.624588235266668,0.1448,Baixo
RA-1460,2,Agata,6.784805263200001,0.1446,Baixo
RA-605,3,Agata,6.0175222222,0.1443,Baixo
RA-220,5,Ametista,7.6987770562666675,0.1442,Baixo
RA-1351,0,Topázio,8.1861038462,0.1439,Baixo
RA-1168,3,Agata,6.864053921600001,0.1434,Baixo
RA-1338,0,Agata,6.1368428571,0.1422,Baixo
RA-1588,4,Ametista,7.303823728133333,0.1411,Baixo
RA-363,3,Ametista,7.617803571466666,0.1402,Baixo
RA-716,1,Agata,6.2372943675000005,0.1398,Baixo
RA-715,2,Quartzo,5.3098253133,0.1393,Baixo
RA-706,2,Quartzo,5.8701964286,0.1386,Baixo
RA-258,3,Agata,6.429063888866667,0.1385,Baixo
RA-408,3,Agata,6.5276296297,0.138,Baixo
RA-943,1,Topázio,8.965033333300001,0.1371,Baixo
RA-1323,0,Ametista,7.487366666700001,0.1368,Baixo
RA-1393,0,Ametista,7.2597,0.1366,Baixo
RA-1602,5,Topázio,8.041889814800001,0.1364,Baixo
RA-960,1,Quartzo,5.286047619,0.1361,Baixo
RA-923,1,Ametista,7.688609090900001,0.1361,Baixo
RA-613,3,Ametista,7.4019,0.1358,Baixo
RA-469,3,Ametista,7.684639869300001,0.1355,Baixo
RA-1545,3,Ametista,7.296598575533334,0.1355,Baixo
RA-1054,2,Agata,6.985788509300001,0.1352,Baixo
RA-556,3,Quartzo,5.833377380933333,0.1343,Baixo
RA-459,4,Ametista,7.233804589400001,0.1343,Baixo
RA-1486,2,Agata,6.865474509900001,0.1341,Baixo
RA-1539,3,Ametista,7.709588888900001,0.1337,Baixo
RA-534,3,Ametista,7.088855054266667,0.1335,Baixo
RA-1341,0,Ametista,7.862906349200001,0.1331,Baixo
RA-517,3,Quartzo,5.880466583166668,0.1331,Baixo
